Title,Readership,Commants,PostingTime,Influence,SplitWords,Label
策略|A股想涨起来还需要点功夫  谁来一脚助个力？,2231,12,20220110,40.17197485,策略 想 涨起来 功夫 一脚 助个力,
二次探底？,2816,18,20180418,59.70737143,二次,
本仙，要预测一只股票了，深圳能源[大笑][大笑]。,6986,43,20210429,141.09548,本仙要 一只 股票 大笑 大笑,
今天跌的惨不忍睹啊，幸亏早就清仓了，大家还持有股吗,4983,11,20180827,37.04412181,跌 惨不忍睹 幸亏 早就 持有 股,
十个预测九个已得到验证，第十个预测成交量将缩到500,1799,5,20190209,17.38926091,十个 九个 验证 第十个 成交量 缩到,
【21.05.13】25万，玩了1.4年，总盈利8百,1918,35,20210513,114.898997,万玩 总 盈利 百,
股市心得：浙江富润这只股是我这5年来股市生涯的最后,1278,6,20191102,20.5872858,股市 心得 股 年来 股市 生涯,
创业板注册制后，涨停比较难，连板就更难了，短线连续,1157,10,20200428,33.57216668,注册 制后 涨停 难连板 更 难 短线 连续,
3538这一天终于来临，在这之前我反复强调，要么突破36,14418,212,20210929,690.4556168,来临 反复强调 突破,
好饭不怕晚这不隆基不是今天最亮的仔！昨天高抛其他的,1339,17,20211123,56.3443732,好饭 晚 不隆基 最亮 仔 高 抛,
下来吧，把缺口补了更健康,3331,34,20200728,111.7329011,缺口 补 更 健康,
纳川股份减仓、浙江众成加仓[毛估估][毛估估][毛估估],1877,14,20200713,46.6457125,纳川 股份 浙江 众成 毛估估 毛估估 毛估估,
九阳真金！,9059,12,20180502,40.38497809,九阳 真金,
昨天大盘上涨693平108下跌868，虽然小幅度收涨，但是,1969,35,20200609,114.902986,上涨 平 下跌 小幅度 收涨,
坑自己人让外资抄底,1835,9,20190322,30.39227262,坑 外资 抄底,
今天看不出市场给不了建议，昨天上证指数最高点3695没,1233,51,20210909,166.8318371,看不出 建议 最高点 没,
闲聊，给你们说我这几天的大教训——太相信牛市，哈哈,1599,21,20200723,69.37134696,闲聊 说 几天 教训 太,
假A 贵在时间 决定一切 请勿 缺失时间概念,1194,4,20190515,14.07695151,假 A 贵在 时间 缺失 时间,
4-9:上证指数收盘2825，持仓市值24.52W，今日盈250元,1088,34,20200409,111.5628201,收盘 持仓 市值 盈 元,
以嘉实价值精选股票为例，截至一季度末，基金前十大重,4472,3,20180609,11.02767563,价值 精选 股票 为例 一季度 末 基金 前 十大 重,
没看出来吗，现在就是周一酒类升，周二科技股升，酒类,1068,6,20200914,20.55999994,没 周一 升 周二 科技股 升,
今日观点：上周五部分高位股开始大跌，可能会对题材股,5575,3,20180323,11.06118571,观点 上周五 高位 股 大跌 题材股,
业绩推动个股表现 指数维持震荡走势,2429,3,20210414,10.93489963,业绩 推动 个股 表现 走势,
000811冰轮环境年K线上升五浪详解 年K线图 年k线收盘,17887,33,20190324,108.7383881,冰轮 环境 K 线 五浪 详解 K 线图 k 线 收盘,
行情或迎来重大变化，方向还有待确认,3617,42,20211017,137.745422,迎来 变化 确认,
三六零，目前唯一，吸引我的地方，就是他还有260亿现,3681,29,20210526,95.49808804,三 六零 唯一 吸引 地方 亿现,
星期一雄起！爱心股民请顶贴！,2757,7,20190825,23.95415287,雄起 爱心 股民 请 顶 贴,
中签啦！中签啦！ 随便申购5个号，居然中1个，中签率,1093,4,20200921,14.06351706,中签 签 随便 申购 中签率,
白酒，医药，新能源皆下行，恒生科技大跌，还能上车吗,5199,22,20221012,72.80057194,白酒 新能源 皆 下行 恒生 大跌 上车,
中国软件简要分析,6123,23,20220629,76.07543749,简要 分析,
有人问我：创业板还可活跃多久？,4285,11,20180301,37.02118279,有人 问 活跃 多久,
请教：分红，除息问题？,11760,18,20180611,59.92464256,请教 分红 除息,
今天亏损10337股票没操作就不发图了。心已经凉了连续,5746,78,20210513,254.815778,亏损 股票 没 操作 发图 心 凉 连续,
近来，听人们谈论这个话题,3888,4,20190209,14.25640419,听 谈论 话题,
（原创）20200107最近明显跑不过指数,11553,6,20200107,20.92194317,原创,
在通货膨胀超级周期之下的策略,2092,153,20211011,498.4121966,通货膨胀 超级 周期 之下 策略,
今日小结，长江健康，立方制药，太安堂冲高止盈，双鹭,4636,6,20210429,20.7831502,小结 长江 健康 立方 太安 堂冲 高止 盈双鹭,
今天是忽悠行情,2588,5,20180507,17.4445375,忽悠,
左侧交易是一种提前布局行为。在股价下跌末期，左侧交,5074,47,20190825,154.0468727,左侧 交易 一种 提前 布局 股价 下跌 末期 左侧 交,
今日复盘大盘方面，受外围影响不大，3500强力支撑，外,3287,50,20210720,163.7308799,复盘 受 外围 影响 强力 支撑 外,
国家只有科技发达了，老美才怕我大中国！,3144,4,20180512,14.22411889,国家 发达 老美才 怕,
节前扎堆涨停医药概念，但到目前无一家公司涉及抗病毒,1505,6,20200202,20.61213777,节前 扎堆 涨停 一家 公司 涉及 抗病毒,
中国第一钢丝绳--贵绳股份,1579,5,20180429,17.36943375,第一 钢丝绳,
11块区域有好机会（神雾环保）,6561,6,20180531,20.83593951,块 区域 好机会 神雾,
说什么了，被投资之吻拉黑...,2851,74,20200725,241.709249,说 投资 吻 拉 黑,
【决定大盘命运的5浪形成中】,2721,31,20220505,101.952155,命运 浪,
突发！就在刚刚，A股一路震荡下挫，再度向3500点靠近,2113,5,20210719,17.41371482,突发 刚刚 一路 震荡 下挫 再度 靠近,
没人敢抄底了，拉一下红也没用，明天又创新低[微笑],3358,4,20180721,14.23412824,没人敢 抄底 拉 红 没用 创新 低 微笑,
放量大跌后该怎么走？,1210,9,20220915,30.32897488,放量 大跌 后该 走,
周一[大笑][大笑][胜利]换一张,3099,26,20200315,85.72192755,周一 大笑 大笑 胜利 换 一张,
大盘反弹力度还行。就是量能没有放出来。明后天的量不,4226,7,20180627,24.01907532,反弹 力度 行 量 放 明后天 量,
建议华尔街，逐步全面启动石油资源有色等为首的涨价潮,4490,4,20180703,14.27828622,建议 华尔街 启动 石油资源 为首 涨价 潮,
中国人还是太善良了,2027,4,20190226,14.15739881,太 善良,
露笑科技我在小组提示了三次低吸，要是三次你一次都没,1169,5,20200826,17.32373508,露笑 小组 提示 三次 低吸 三次 没,
茅台崩盘股灾模式开启……短时间内骗不到散户了……大,4738,34,20200103,111.7864583,崩盘 股灾 模式 开启 短时间 内骗 不到 散户,
曾经说过回本就退市！坚决退市了！感觉我现在还年轻，,1243,10,20190910,33.5830649,说过 回本 退市 退市 感觉 年轻,
把券商拉几波涨停，信心也就来了，就完事了，非得东一,1547,10,20190912,33.61632161,券商 拉几波 涨停 信心 完事 东一,
投资分享：北向资金逆势大幅抄底，沪指盘中一度收红，,1980,6,20220422,20.65383282,投资 分享 北向 资金 逆势 大幅 抄底 沪 指 盘中 一度 收红,
缩量反抽注意上方压力,4424,10,20220720,33.77603529,缩量 反 抽 上方 压力,
【20221012收评】一曲映山红，唱响3000点收复战,2185,8,20221012,27.168808,一曲 映山红 唱响 收复 战,
为什么不查内奸，是不是有利益关系,1313,3,20180818,10.84139265,查 内奸 利益 关系,
震荡调整就是低吸机会今天早上大盘走得比较温和，然板,1523,7,20211215,23.86394497,震荡 调整 低吸 机会 走得 温和 然板,
午评：又是一顿胖揍！市场今天要去测试3216点！然后会,1655,4,20220311,14.1265793,午评 一顿 胖揍 测试,
以前是个股民，现在是个基民。附一张我目前收益最高的,1226,3,20210415,10.83097166,股民 附 一张 最高的,
今天只不过是延续昨天及前段大盘下跌的中继反弹，明天,3758,8,20180418,27.25123487,只不过 延续 前段 下跌 中继 反弹,
7.19早评新的一周开始啦   本周A股行情非常重要！,85202,43,20210719,141.4756574,早评 新 一周,
上证再度跌破“3000点”，需要恐慌吗？如何有效控制风,2603,8,20221031,27.19541596,再度 跌破 恐慌 控制 风,
各大媒体、中金公司遥相呼应，绞尽脑汁发新股，雷打不,3846,5,20180119,17.50475325,各大 媒体 中金公司 遥相呼应 绞尽脑汁 发 雷打,
纳入msci，看把一个个高兴的，好像来了财神爷似的，其,20459,64,20180122,209.5088095,纳入 msci 一个个 高兴的 好像 财神爷,
炒股一年多，亏了30%，老了好多，身体也查了好多，今,4525,7,20180709,24.0294665,炒股 老 好多 身体 查 好多,
亏损的王同学找到牛哥，之后就用这一招扭亏为盈！,7970,10,20220822,33.86551041,亏损 王 同学 找到 牛哥 一招 扭亏为盈,
大盘必上3000点！,2150,8,20190818,27.16635346,必上,
本来不想买来着，没忍住。延江股份，天坛生物就看你们,1134,5,20200922,17.31911457,本来 不想 买来 没 忍住 延江 股份,
这一波的反弹最高位是3145.75，离我前面说要触及3155.,1701,10,20221128,33.63074651,反弹 位是 说 触及,
该暴力反弹了,2136,3,20190207,10.91536044,暴力 反弹,
大盘只剩下操作个股才能有10cm的收获了！,1980,48,20220922,157.1538328,剩下 操作 个股 收获,
上联：外资天天流入，下联：内资天天流出，求横批,2229,31,20220119,101.9218385,上联 外资 天天 流入 下联 内资 天天 流出 求 横批,
股海多娇：人非圣贤孰能无过，所以我们在投资中，最好,16557,86,20200407,280.9766436,股海 多娇 人非圣贤 孰能无过 投资,
【超级短线实盘操作试验系列……2.10日周四】,2207,35,20220210,114.9203308,超级 短线 实盘 操作 试验 系列 周四,
[毛估估]人生除了股票，我们还有诗和远方。 [毛估估],2293,4,20190324,14.17614142,毛估估 人生 股票 诗 远方 毛估估,
《每日一帖，向着50万目标》净资产75992 当日盈亏-131,1895,45,20200603,147.3971632,一帖 目标 净资产 当日 盈亏,
等天黑抢跑,1258,4,20200515,14.08488822,天黑 抢跑,
都在看基本面。看题材。看这看那。没看到实体已经很差,3740,3,20190423,11.00050506,基本面 题材 没 实体 很差,
10.22午间分享,13926,125,20211022,407.7003392,午间 分享,
今天清仓，下月在战。,1090,5,20200728,17.31309927,战,
晚间A股重要消息面解读！   外资今日再次做空A股？,3144,14,20220113,46.72411889,晚间 消息面 解读 外资 做空,
炒股近五年，竟没有自己的一套盈利机制。目前为止，亏,1198,6,20200212,20.57745989,炒股 近 五年 竟 一套 盈利 机制 目前为止 亏,
未来大牛股:五洲同明，洲明光显让世界更精彩！,2563,6,20220808,20.69306201,大牛股 五洲 同明洲 明光 显让 世界 更 精彩,
预计今日大盘会小幅收阳，！,5352,7,20180917,24.05498064,预计 小幅 收阳,
美的小天鹅COLMO同时推出洗干套装，洗衣机开启分区洗,1624,5,20200606,17.37370511,美的 COLMO 推出 洗干 套装 开启 分区 洗,
辛辛苦苦一个月，三天回到解放前！跟15年股灾有的1⃣,1283,6,20200228,20.58787933,辛辛苦苦 一个月 三天 回到 解放前 股灾,
策马奔腾：新一轮财富分配将拉开帷幕,10934,114,20200929,371.9135727,策马 奔腾 新一轮 财富 分配 拉开帷幕,
可以公开告诉你 有的股会暴跌再暴跌 腰斩再腰斩,45065,35,20180121,115.3788438,公开 告诉 股会 暴跌 暴跌 腰斩 腰斩,
股市好，我们等待 希望加大打击力度，诚信为上，不能,5446,7,20180131,24.05762717,股市 等待 希望 加大 打击 力度 诚信,
正如预料再上行，坚定持有不放松。[傲],3111,11,20180615,36.972515,上行 坚定 持有 放松 傲,
明天或后天见顶,5790,6,20180301,20.8169375,后天 见 顶,
T＋0跟你没关系，满仓蓝筹才是正道啊啊啊,6611,5,20180430,17.58709351,没关系 蓝筹 正道 啊啊啊,
今明两年的A股大牛市，是有色，煤炭，钢铁，基建，证,1029,7,20210911,23.80434538,今明两年 大牛市 基建 证,
《每日一帖，向着50万目标》净资产51710 当日盈亏474,1633,35,20200914,114.8745452,一帖 目标 净资产 当日 盈亏,
周五跳空高开，中大阳创新高，下周一还跳空中大阳创新,4840,117,20211216,381.5396959,周五 跳 空高开 大阳 创新高 下周一 跳 空中 大阳 创新,
20190513周一中午。 昨天预测今早调整，今早调整到了,10534,44,20190516,144.4079077,周一 今早 调整 今早 调整,
11月1日操盘杂谈,2721,17,20221101,56.45215499,操盘 杂谈,
2021.05.28可转债交易记录：今日可转债—711.上午追的,1433,26,20210528,85.60468617,可转债 交易 可转债 追,
以后每天10点下午2点，公布一到两支就图个刺激,1089,32,20200331,105.0629598,公布 一到 两支 图个 刺激,
中钢协定性钢价“炒作” 钢企调控压力骤增 08-11 08:0,3830,6,20180225,20.75411957,钢 协定 性钢价 炒作 钢企 调控 压力 骤增,
建议新股民。开始尽量投入二成资金买卖，等待自已感觉,3425,53,20200727,173.4871312,建议 新 股民 投入 二成 资金 买卖 等待 自已 感觉,
周二深成指创业板震荡下跌，其他指数震荡上涨,2315,33,20220718,108.4275928,周二 深成指 震荡 下跌 震荡 上涨,
下周股市的看法。神机是个性情中人，也是一个坦诚之人,11945,95,20210530,310.1770152,股市 神机 性情中人 坦诚,
润和下周一必须补仓，否则今年赚钱都很难,12086,182,20210827,592.9287989,润 下周一 补仓 赚钱 很难,
再偷偷的告诉你们一件事，真正的厉害的企业根本就不会,1153,10,20220807,33.57164026,偷偷 告诉 一件 事 厉害 企业,
主升,5412,125,20220911,407.5566752,主升,
最近我自己玩期货总结了一点散户最重要的一个逻辑思维,1132,7,20210314,23.81884625,玩 期货 一点 散户 逻辑思维,
《回顾》狐狸前面预测今天大盘惯性下跌，下跌支撑3260,33047,571,20200908,1857.331696,狐狸 惯性 下跌 下跌 支撑,
开场还是熟悉的一句话，看不懂本人的分析很正常，很多,6812,57,20210728,186.5916461,开场 熟悉 一句 话 看不懂 分析,
我是死空头[大笑][大笑][大笑]看空矮古理由如下: 第一,9491,96,20190429,313.3920592,死 空头 大笑 大笑 大笑 看空 矮古 理由 第一,
17.08.15：上市公司成长性困扰着,1828,5,20180226,17.39169167,上市公司 成长性 困扰,
聊聊对大盘的看法：最近证券股如此疯狂让我想起O5年至,4591,33,20200705,108.5316676,聊聊 证券 股 疯狂 想起,
13：49分华菱钢铁优秀，钢铁太硬了必须优秀就看今天数,1113,8,20210601,27.06627331,优秀 太硬 优秀 数,
3500新的起点，4000点不是梦，5178一定会被超越，6124,3161,13,20210826,43.47493857,新 起点 梦 超越,
微笑,3311,8,20180618,27.23198571,微笑,
每日实盘，减了点仓。,1077,29,20210713,95.3112755,实盘 减 仓,
10.17日，大A钝刀磨人行情如期上演！,1218,7,20221017,23.82997655,日大 A 钝刀 磨 上演,
有人割肉只剩下两成仓位了,2588,6,20220929,20.6945375,有人 割肉 剩下 两成 仓位,
上证指数二次坡段下跌的见底日期为4月7日,4028,28,20210324,92.26178131,二次 坡段 下跌 见 底 日期,
多只强势基金同时限制大额申购，释放什么信号？这一点,3635,3,20210715,10.99617655,多只 强势 基金 大额 申购 释放 信号 一点,
如果7月8日所预料，大盘回补了3320的缺口，回到3300点,1656,6,20220711,20.62667112,回补 缺口 回到,
佩服提前抄底的勇士，2950下方才适合做反弹！,5485,43,20220425,141.0587118,佩服 提前 抄底 勇士 适合 做 反弹,
大盘破底将展开大反弹,8598,21,20180420,69.6270391,破底 展开 反弹,
盖上了。3450点附近，大锅盖已经完全严实了，漏气的可,5952,29,20200826,95.57113202,盖 锅盖 严实 漏气,
大家见没见过这样的股市,1417,5,20190125,17.35297945,见 没见 股市,
做空，就是打闷棍。上次在科技股里打了闷棍，是新韭菜,15623,307,20200416,999.2178176,做空 打闷棍 上次 科技股 里 闷棍 新 韭菜,
3611失手，意味着，调整加剧，盘中提示了不要盲目的抄,13876,106,20211220,345.9497925,失手 意味着 调整 加剧 盘中 提示 盲目 抄,
14和17日高点,3428,12,20211210,40.23726428,高点,
真正到全球金融危机时如果股指在高点的话，请问诸位，,2342,5,20180818,17.42935541,全球 金融危机 股指 高点 请问,
上证指数量化参考——4月19日预测图,1390,8,20220418,27.10005518,量化 参考 图,
操作贴‖半导体，光伏，白酒，新能源车今天加仓还是减,2348,6,20220805,20.67974433,操作 贴 半导体 光伏 白酒 新能源 车 减,
股海多娇：投资，必须要亲力亲为，不看任何形式的股评,7500,73,20210425,238.6062714,股海 多娇 投资 亲力亲为 不看 形式 股评,
刚准备睡觉！得知证券市场的消息面，有点炸！立马分享,1500,3,20220519,10.86163194,刚 睡觉 得知 证券市场 消息面 炸 分享,
市场继续上涨，主力大变脸，小沐必须给所有散户一个提,5651,7,20221209,24.06324386,上涨 主力 大变脸 沐 散户 提,
下个月要去芬兰深造了，三年以后再回来，大家猜猜我回,4694,12,20180814,40.28504008,芬兰 深造 回来 猜猜 回,
第一支撑位2600，，第二支撑位2000，，后面一年极限底,1180,18,20220426,59.5751587,第一 支撑位 支撑位 极限 底,
一般说学习能力判断能力和执行能力是三大能力，我觉得,1469,3,20190810,10.85845763,说 学习 能力 判断能力 执行 能力 三大 能力,
对太钢华菱钢铁反弹目标位预判，太钢9.9元华菱7.15,1110,18,20211019,59.56586304,太钢 反弹 目标 位 太钢 元,
寻人启事，寻找美羊羊，看到后速回！,4674,5,20180516,17.53439105,寻人启事 寻找 美羊羊 速回,
大盘连续上涨，有些踏空的朋友一筹莫展，不知该从何处,5895,17,20190408,56.56966933,连续 上涨 踏空 朋友 一筹莫展 不知,
收工下班！各位我是不是悟道了？,2069,75,20220307,244.9105162,收工 下班 悟道,
【大盘昨天莺歌燕舞，今日偃旗息鼓，为啥？三天前已帖,3274,59,20220331,192.9802775,莺歌燕舞 偃旗息鼓 为啥 三天 前 帖,
人气太低喷人太多的小白后期就浪好了不说技术铁了哈,29815,15,20190131,50.31605218,人气 太低 喷人 太多 小白 后期 浪好 说 技术 铁,
大盘跳空上涨，缺口会回补吗？新能源，光伏，军工，医,1014,3,20220720,10.80211328,跳空 上涨 缺口 回补 新能源 光伏 军工 医,
漫漫熊市不归路,4600,8,20190513,27.28196524,漫漫 熊市 不归路,
8月20日尾盘即提醒逐步抄底创业板股票，8月21日再次提,1538,12,20200824,40.11543472,尾盘 提醒 抄底 股票 提,
肯请：延长开市时间到元宵节后！真的有必要这样,1078,5,20200130,17.31141657,肯请 延长 开市 时间 元宵节 真的,
大盘低吸通道仍在，不宜轻言见顶！,1109,11,20200611,36.81572604,低吸 通道 不宜 轻言 见 顶,
来支荷花压压惊今天没什么说的了两天有进300个朋友来[,6792,22,20200108,72.84119919,来支 荷花 压 压惊 没什么 说 有进 朋友,
什么原因引起大盘爆跌呢？谁能告诉一下，谢谢！,2264,27,20220824,88.92420675,原因 爆跌 告诉 谢谢,
大盘有没有问题，看什么，看技术，我说美国经济不好他,1828,13,20200730,43.39169167,有没有 技术 说 美国 经济 不好,
善猎者必善等待,5283,30,20210706,98.80300821,善 猎者 必善 等待,
请能告诉我，今天为啥跌,1154,16,20220711,53.07177203,请能 告诉 为啥 跌,
买进创业板吃穿不用穿买进科创板夜夜做新郎,1245,11,20200120,36.83330927,买进 吃 穿 不用 穿 买进 科创板 夜夜 做 新郎,
潜心学习回来，从新开始测试股票，每个星期大胆预测四,2095,3,20190312,10.91241441,潜心 学习 回来 测试 股票 星期 大胆 四,
周五各指数都震荡下跌，下周一还下跌（2浪就到底了）,2971,37,20220728,121.4655159,周五 震荡 下跌 下周一 下跌 浪,
05.21. 疾风斩悄然临近,21517,146,20200520,476.0164736,疾风 斩 悄然 临近,
