Title,Readership,Commants,PostingTime
2020年12月31日|星期四今日盈利1.2万，今年盈利18.5万,1842,4,2023/12/31
指数上攻，必须放量！！！,674,1,2023/12/31
明年牛年，股市必长牛,621,0,2023/12/31
2020年收益，感谢股市,550,0,2023/12/31
纪念2020,572,0,2023/12/31
2020鼠头鼠脑就这样了，2021全年牛气冲天！,519,0,2023/12/31
牛市二浪来了,479,0,2023/12/31
今天晚上是跨年夜，明天就是元旦了，祝福我生命中遇到,827,2,2023/12/31
中国资本市场都提股民要理性投资，价值投资，有的股票,686,2,2023/12/31
又到2020总结季，收益很不错，主要是抓住了半导体个股,706,1,2023/12/31
2020年收官总结一下，今年受益于疫情牛，前期埋伏了数,627,0,2023/12/31
好长时间没到这里来，今天是今年最后一天，近来很少做,633,4,2023/12/31
上证指数是什么？在我眼中只不过是一条直线而已。这个,851,2,2023/12/31
加油，谢谢市场,513,0,2023/12/31
比较了一下，股市只能是娱乐呀！,548,0,2023/12/31
万水千山总是情，个股普涨行不行,474,0,2023/12/31
2020年要过去了，发帖留念,475,0,2023/12/31
结合往年春季行情的经验规律可以发现，一月份军工板块,1091,0,2023/12/31
《明年三大任务。第一是全面注册制，第二是全方位推行,1285,1,2023/12/31
去年赚一倍多，今年刚一倍，今年最主要的原因是去年大,934,3,2023/12/31
牛年，党的100年华诞,435,0,2023/12/31
新高了,534,2,2023/12/31
今年效益不行，明年继续加油,546,1,2023/12/31
总算熬过来，真担心2020再增加1个月，年初的收获都要,648,0,2023/12/31
今天是2020年的最后一天，也是最后一个交易日，盘点一,772,1,2023/12/31
突破，漂亮。2021值得期待,504,0,2023/12/31
我的2020又是新的一年到，时间过得真快。在今天这个特,1278,10,2023/12/31
2020钟声即将敲响，回顾2020，是极其丰收的一年，是更,810,0,2023/12/31
《明年三大看，想想你能捐多少钱？第一看全面施使注册,525,0,2023/12/31
2021年，前高后底，越胆小越好,600,0,2023/12/31
600518:康美药业关于涉及诉讼的公告，庆父还在，鲁难,530,0,2023/12/31
2020年是认真投入股市投资的一年，结果并非很满意，但,529,0,2023/12/31
2020年A股三大指数及个股表现如何？辉哥整理了几组数,878,0,2023/12/31
五浪大波来了,511,0,2023/12/31
茅台酒不跌小盘股不会涨的,491,1,2023/12/31
不知不觉我来股吧一年多了、谢谢大家、29-30我们把仓,3912,79,2023/12/31
2020年今天最后一天，大盘涨幅创了一年内新高3474.92,730,4,2023/12/31
600322天房集团2019年到期《职工福利计划》近三十个亿,1654,0,2023/12/31
【干货：持仓更新第62天】2020.12.31星期四收盘2020年,728,2,2023/12/31
谢谢，20年第一年真心实意的学着做股票，受益良多，希,578,3,2023/12/31
还有一张,559,1,2023/12/31
2020年收官日，两市股指强势上扬，上证指数创出2018年,609,0,2023/12/31
今年结束了明年继续努力,636,1,2023/12/31
持有东阿阿胶，静等时间之花绽放！,671,0,2023/12/31
一月涨幅较大,5784,21,2023/12/31
2020年最后一天了，想听听大家怎么评价精通高手？,3487,32,2023/12/31
总结我的20202007年初入股市就遇到了经济危机，2015年,839,2,2023/12/31
25号谈到本周资金回笼压力减缓了，技术上有向上的预期,679,0,2023/12/31
一个新韭菜的成长历程,565,1,2023/12/31
仓位5成，明年开盘就加仓[加油][加油][加油][加油][加,570,0,2023/12/31
收官之战还算漂亮！,577,0,2023/12/31
一年操碎了心，才这么点钱，还不够一年的推油钱,903,6,2023/12/31
分析交流：12.31日跨年行情分析研究,598,0,2023/12/31
今天主力都蒙圈了！,484,0,2023/12/31
原本想大盘会在节后向上突破前高。的确没想到，主力会,2263,18,2023/12/31
2021年1月1日周评：向上突破，21年时间窗在2月,886,0,2023/12/31
入市2个半月，学到了很多，期待2021。,687,1,2023/12/31
2020.12.31今天的主要指数估值表出炉啦.....2020年即,557,0,2023/12/31
牛年牛气冲天，大家发财！,458,0,2023/12/31
节后尽快出来！！！！,489,0,2023/12/31
今年有盈余，希望明年大伙都赚大钱。,550,0,2023/12/31
过去的一年，忘不掉的是疫情，还有全民抗疫后对可怕病,1190,3,2023/12/31
【安信策略：预计2021年权益类规模基金为股市带来6000,505,0,2023/12/31
总结得挺好的，但就是不涨,454,0,2023/12/31
2021你好,479,0,2023/12/31
【一年暴涨20万亿，A股完美收官！这个板块成年度最大,626,0,2023/12/31
316拿了N多年，15年那波最高到55，结果没挣着钱，后来,638,2,2023/12/31
时间过得很快，还未来得及细品，2020年就怱怱而过了。,932,1,2023/12/31
投资是一项艰巨的任务重在独立理考与快乐生活新的一年,758,1,2023/12/31
《致蜗牛的 一封信 》,2632,29,2023/12/31
今天故意使坏，,451,0,2023/12/31
全年收益率还亏26个点！哈哈还赚了点点,545,0,2023/12/31
今天市场的多头主力为了庆祝2020的大丰收，兴奋的把三,509,0,2023/12/31
今年白炒了，一个超市股拖垮全部。要不然盈利十几万，,540,0,2023/12/31
2020年结束了，2021希望更牛,492,0,2023/12/31
大A目标位3660，大回调！,467,0,2023/12/31
全面分析后逻辑性预测，2021十大牛股中绝不会缺席京东,1954,9,2023/12/31
顺利办公司起的名称好听，让投资人顺利办。2020年A股,430,0,2023/12/31
2020即将结束，回望一年来的投资之路，有收获，有遗憾,526,0,2023/12/31
入股市四个月，中新股四票[捂脸],433,0,2023/12/31
牛年牛市祝大家牛年发发发[呲牙][呲牙][呲牙],524,1,2023/12/31
今年指数非常漂亮！口袋里的钱很难看，还不如6124大暴,453,0,2023/12/31
收益符合预期，年底长线持有的股回撤了15%，不然今年,719,3,2023/12/31
今天大盘冲高减半仓落袋为安。明年精做个股。下周看空,632,2,2023/12/31
请问监管层，智飞生物今天的操作是不是合法？,395,0,2023/12/31
完成了小目标,484,1,2023/12/31
这一年白炒了，就炒最后这两天就好[大笑][兴奋][撇嘴],481,0,2023/12/31
该涨的都涨过了，节后回来不知道该买什么板块了,389,0,2023/12/31
借用：大2020，是不平凡的一年2020年刚开始，就出现了,1125,9,2023/12/31
祝各位小伙伴牛股在、牛气冲天、牛气十足、气鼓鼓、牛,423,0,2023/12/31
现在的5G可能就是2019年下半年的新能源车产业链，发展,778,0,2023/12/31
一股一线一画难，费心费神费时间。在这送鼠迎牛之际：,829,5,2023/12/31
兄嘚姐妹们，官宣疫苗全民免费，2021再战江湖！祝大家,507,0,2023/12/31
今天做空上证指数失败，继续吃面,419,1,2023/12/31
亖,386,0,2023/12/31
好的好的,417,1,2023/12/31
2020全面收益-26%清仓400多次，按照千分之一的税计算,508,2,2023/12/31
怎么都看多呀？难道我清盘是错的吗？,400,1,2023/12/31
为了拉出一个漂亮的阳线，收了年线，真的是用心良苦了,489,0,2023/12/31
站好最后一班岗 2020年第243个实盘日记,1746,15,2023/12/31
明年大三浪在第一天跳空中演绎惊雷啊啊啊,590,4,2023/12/31
愿我的梦想成真！,357,0,2023/12/31
2020年的总结[笑哭][笑哭][笑哭]，亏损与2019年不相上,3272,206,2023/12/31
指数能=业绩是吗？说说看,384,0,2023/12/31
目前都是5浪跌完的股票涨风水轮流转啊啊啊,449,0,2023/12/31
你赚的钱只不过是有一个更傻的人接了你的盘而已！[胜,597,6,2023/12/31
大盘走势由上证50决定！而上证50的走势由权重决定！裁,503,0,2023/12/31
博主锁仓公开不是一般博主，定力强方向准//@大周期投,407,0,2023/12/31
找半天没找到神鸡看他脸肿了没有[微笑],494,2,2023/12/31
当我知道，很多人觉得牛来了，那么就会跌[鼓掌],468,1,2023/12/31
敬大盘一杯茅台酒，再爱它也要等明年天下股市风云出我,601,3,2023/12/31
8月进入股市，小白一个，8月到11月亏损两万四，12月回,493,0,2023/12/31
走着走着…多灾多难怪事连连的庚子年2020再有6小时不,559,0,2023/12/31
明年是牛年，牛市要来了,371,0,2023/12/31
股票太好了。,373,1,2023/12/31
炒指数玩轮动大盘子上升通道股；炒主题关注买精准买点,393,1,2023/12/31
48w的扭转干坤操作风格：短线波段起始时间：第一周，,2114,25,2023/12/31
把自己炒成股痴，股神经，来来回回给券商送无数逼佣金,382,0,2023/12/31
预测明天3533收,542,6,2023/12/31
节后行情怎么走？是继续上涨还是要调整一下呢？今天沪,669,0,2023/12/31
19年1月份用本软件重新进入股市一来，感觉今年太难了,488,0,2023/12/31
5178还是6124？,365,1,2023/12/31
每年中央一号文件是农业，也就是一月农业板块活跃概率,455,1,2023/12/31
不知道这人均10万怎么来的，但是我是亏本很多，不想说,498,2,2023/12/31
2020年度环球资产即使全部做减值准备也比两市70%股好,385,0,2023/12/31
送鼠[摊手]迎牛[福]祝大家牛年[爱心]牛气冲天[财力][,690,0,2023/12/31
亏两万左右，太难了。,482,1,2023/12/31
今日的指数高开高走，放量收阳，突破前期高点，收盘34,496,0,2023/12/31
年后回来是2-3周军工板块最疯狂的上涨，拿好龙头，板,363,0,2023/12/31
2020年最大失败莫过于全仓格力空仓美的！,453,0,2023/12/31
明天不开盘？？？,354,0,2023/12/31
【2020.12.31】[减仓][福]大盘依旧红灿灿[爱心][爱心],1247,64,2023/12/31
说实话，人真的是不能太贪！十一月份盈利有85万，想着,498,0,2023/12/31
都是这样过来的,391,0,2023/12/31
这是上高速了吗，有点超速啊[滴汗][滴汗][滴汗],351,0,2023/12/31
合适才能回本？,926,18,2023/12/31
这A股就是在炒A50平均数，等于平均50人赚钱，4000千亏,367,0,2023/12/31
今天股市长阳突破，2021年慢牛行情可期，元旦节后收红,509,0,2023/12/31
上午卖你，下午买你，疫苗免费，五味杂陈！利好又来，,373,0,2023/12/31
3500[哭],448,0,2023/12/31
两年阳线了，中国的股市几乎没有三年阳线的时候。不过,510,0,2023/12/31
生死时速！！欧美经济或现“新雪崩”；大规模世界经济,824,0,2023/12/31
雪后的泉城济南，碧空如洗，空气清新，一场大雪将多日,677,0,2023/12/31
马上就要2021年了，回想我这一年的操作真是牛逼不行了,601,1,2023/12/31
喜迎2021，去s吧2020,505,0,2023/12/31
月线压力位终于向上突破了！,418,3,2023/12/31
2020年过去，收益还算满意；希望2021年继续大涨。,554,0,2023/12/31
貌似慢牛来了，新高不断[大笑],362,0,2023/12/31
大盘明年会不会开始上一个台阶，再创新高？,371,0,2023/12/31
A股三大指数今日迎来2020年收官战，最终集体大幅收涨,431,0,2023/12/31
2020年收官，上证上涨14%，人均八万多，你赚了多少，,474,1,2023/12/31
周一我拿的股大涨，卖出换股，周二拿的又大涨，换股，,397,0,2023/12/31
涨指数不涨个股,465,2,2023/12/31
本周走势和周日预判基本一改，周日预判本周走势时就说,451,1,2023/12/31
大盘总结说人均赚10万，对标的是私幕公幕机构和5年以,578,1,2023/12/31
《两天涨了100点(3374一3473)，不知道你赚多少钱》,561,1,2023/12/31
2020完美，2021再见。虽然涨的基金比较多还是今年股市,485,0,2023/12/31
2020年圆满结束，今年收益很满意击败了86%股民，运气,505,1,2023/12/31
上证指数（1）年线级别MACD处于多头状态，年线级别MAC,1156,3,2023/12/31
最后一天尾盘拉指数还可以这样玩[亏大了]！罢了罢了节,1090,15,2023/12/31
2020年12月18日－31日，+4341元。总资产560044元,723,4,2023/12/31
21年白酒将带领上证反攻5000[旺柴]毕竟这年头买啥不如,412,0,2023/12/31
牛年大牛市！,409,0,2023/12/31
今年收益率百分之六十，满足，明年继续2021加油。,747,1,2023/12/31
农业是重中之重，为什么还要潜水？这是不重视吗？,480,1,2023/12/31
2020年的最后一夜，比以往时候显得更冷一些。翻开日记,537,1,2023/12/31
本人大学生哈哈哈还是体育生今天4月开始投资股票到现,661,1,2023/12/31
慢慢来不着急[微笑],392,0,2023/12/31
大盘指数收盘都创了今年新高圆满收官，应该说指数表现,529,1,2023/12/31
2020年人均赚10万，你们达标了吗[微笑],675,5,2023/12/31
只公布港股元旦休息日、我们大陆休息几天？,386,0,2023/12/31
节后第一天狂涨,574,1,2023/12/31
瞎扯搞吧。,355,0,2023/12/31
2020完美收官，2021活着就好！,615,0,2023/12/31
京东方，庄家托工夫真做足了，全是贴,429,1,2023/12/31
一年赚了一顿饭钱。头发白了几根。,597,2,2023/12/31
今年的年终总结。,406,0,2023/12/31
2020.12.31可转债交易记录,2088,38,2023/12/31
“牛市旗手”涨停潮A股完美收官来年开启新繁华？观点,445,0,2023/12/31
光荣啊！我的大A！,465,2,2023/12/31
今年10月正式进入股市，大盘算是给我发了个大红包吧，,413,0,2023/12/31
月底开仓看看，月总结和年总结一起吧。入市投资快两年,698,6,2023/12/31
今年总体收益亏9%，主要是深套的兴森科技造成的亏损，,490,0,2023/12/31
短线的我挺过来了已开始盈利，你呢？前面帖子强调中线,378,0,2023/12/31
21年牛年牛气。好牛股市带你飞。[看多][看多][看多],382,0,2023/12/31
年初大盘3080点江河7元，年底大盘3400多，日下5块8，,357,0,2023/12/31
总是准！股市预测头号人物司马懿马哥，12月8号预测349,2195,46,2023/12/31
命运就像自己的掌纹，虽然弯弯曲曲，却永远掌握在自己,1827,10,2023/12/31
平常都快把人的心磨死了，最后一天来了个新高，都不知,355,0,2023/12/31
下周跳空高开，开展春季行情！大金融发力直接捅破3500,419,0,2023/12/31
下周一破万亿成交量,410,0,2023/12/31
最后一天拉涨，遮羞布而已。,371,0,2023/12/31
年内投资收益率未能达标。截至昨天为止，年内投资收益,1371,0,2023/12/31
指数都创近期新高了，账户还在亏钱的举手,413,0,2023/12/31
收工，祝2021快乐，健康！,377,0,2023/12/31
最后的狂欢，群魔乱舞。越来越假的指数让人怀疑是不是,432,0,2023/12/31
给你们讲个笑话，今天大盘涨了近2个点，我亏了好多[微,540,3,2023/12/31
今日总结，这个月终于结束了，大盘也不负众望发了个新,740,4,2023/12/31
我也来晒一个，虽然收益少，但是胜率高[大笑],423,0,2023/12/31
2020年股市今日收官我的股票全年最高价为2020年1月2日,369,0,2023/12/31
我记得之前有一个叫神机的家伙一直在唱空，最后装不下,452,0,2023/12/31
12月25日13家，28日11家，29日16家，30日18家受理创业,355,0,2023/12/31
还行吧！还没回本[旺柴][旺柴][旺柴],495,0,2023/12/31
我选择做波段，底是双底，但是大盘一突破，资金流去别,422,0,2023/12/31
2022年指数肯定超过2015年各项指数，要献大礼,394,0,2023/12/31
让投资者有获得感！这句话最贴民心。给证监会点赞！给,407,0,2023/12/31
入市第一年。最后一个月心态崩了。开始追涨杀跌。于是,367,0,2023/12/31
今天的大盘放量上涨。成交量4504亿。上证主力净流入49,5011,95,2023/12/31
12.31今天证券拉升，指数拉大阳，但是个股还是很多回,470,2,2023/12/31
今年收益率-66%，以后不炒股了。,517,3,2023/12/31
今天看着我的年收益率几次站上300，最后收盘定格在了,387,1,2023/12/31
2021年起强制执行:只看10元以下的股票，立帖提醒自己,833,4,2023/12/31
今天盈利72082020的最后一天。大盘大阳线收场。多少写,8937,37,2023/12/31
今天涨1.73符合，昨晚预测1.6以上，预测明年开盘绿，,456,4,2023/12/31
盘面上边：A股三大指数在2020年的收官之战集体大幅收,1186,0,2023/12/31
下周开盘,371,1,2023/12/31
做多大A，牛市来啦！[兴奋],408,0,2023/12/31
记得年初，北大国发院金融学的徐远教授预测2020年底A,882,2,2023/12/31
感谢2020，好运2021。慢即是快，慢慢的认真做好自己的,511,5,2023/12/31
一年红2天，,384,0,2023/12/31
高潮次日真不好接力，尤其次日指数还给大涨突破...平,398,0,2023/12/31
真是特么牛叉，今天的板块居然跟11月30号，一毛一样。,366,0,2023/12/31
展望2021,545,1,2023/12/31
今天这么好的红包行情，20万赚1300，我技术太差了，真,429,1,2023/12/31
大家新的一年买啥啥涨，收益日日创新高[呲牙],408,0,2023/12/31
20201231星期五今天盘面比预期强！券商功不可没！手中,2159,6,2023/12/31
年线光头阳线，是真的牛[赞],435,0,2023/12/31
《指数最高点，吹拉弹唱又一年。账户做总结，很多又是,435,0,2023/12/31
2020年，完美收官!菜鸟的账户居然是红的!三年了!炒股,947,17,2023/12/31
本小散尽力了，15万的本金，明年会更好。,386,1,2023/12/31
今天错失等了两个月的大机会，我勒个去，交易窗口时间,681,3,2023/12/31
年终总结--差强人意,351,1,2023/12/31
我发起了一个投票，【#上证指数#下周沪指能站上3500点,712,0,2023/12/31
大牛市来啦！兄弟们冲啊,359,0,2023/12/31
集合啦，汇报一下2020年的战绩，我先说，一直追涨杀跌,408,1,2023/12/31
终于闭市了，不用再受折磨了，真希望永远不要开市了，,473,0,2023/12/31
2020结束了，又是一年亏损年,355,1,2023/12/31
2020年虽然曲折，但是依然完美收官！,381,0,2023/12/31
十二月总结/今年总结/历史总结——韭菜的成长日记（20,420,0,2023/12/31
今年盈利208万－2.8万（今天亏损）=205万，收益率270,1480,21,2023/12/31
大金融的春天来了！,465,4,2023/12/31
今年追高亏钱的应该没有多少吧，人均盈利10万，我被平,371,3,2023/12/31
《每日一帖，向着50万目标》净资产64386 当日盈亏72,1369,34,2023/12/31
【最大的问题是恐高】这几年不赚钱，甚至亏钱，最大的,362,0,2023/12/31
今年收益晒一下！,579,4,2023/12/31
在大盘2600点时赚10多万，在3400点亏了20多万，是A股,402,1,2023/12/31
对2020年说再见了！,678,11,2023/12/31
年线漂亮,367,0,2023/12/31
《每日一贴12月31日》今天盈利1万4，告别2020 年，迎,1335,25,2023/12/31
2020年最后一天，还是有个好的收市，来年加油[强壮][,378,0,2023/12/31
最后一天还坑我。我今年赔了10多晚,415,1,2023/12/31
今天盈利9.2千。12月盈利8.4万。满仓。2021年初会有更,487,4,2023/12/31
今年7月进来。带着16万就前半个月赚了2万。后面一直亏,487,3,2023/12/31
如上贴所说，大盘果然一阳包三阴，拿下3450收盘，全面,569,9,2023/12/31
今年就这样结束了。第一年炒股还是满意的，感谢A股，,374,0,2023/12/31
茅台1998，要酒就发。2000年的收购价已到8000元/瓶。,551,0,2023/12/31
2020年证券市场交易结束了。,391,4,2023/12/31
一2600,433,3,2023/12/31
12.31剩7.6，天天看着的长春，一进就是套人的,502,5,2023/12/31
2021年度收官之战完美收官，给2020画上了一个完美的句,606,0,2023/12/31
其实但斌前15年做的私募一直亏钱，这两年做茅台赚了就,880,1,2023/12/31
走势符合我们的预期，继创业板、深成指之后，沪指突破,380,3,2023/12/31
皆大欢喜，2021年继续跌,411,0,2023/12/31
辉煌的2020年过去了！2021年是成份大盘股的天下，加油,408,0,2023/12/31
我发起了一个投票，【#上证指数#2021年能到多少点？】,1328,7,2023/12/31
今年这行情还亏的，劝你们还是别做了，或亏了也别说出,357,1,2023/12/31
我发起了一个投票，【#上证指数#大盘大涨各位今天涨多,924,1,2023/12/31
我发起了一个投票，【#上证指数#今天证券账户收益如何,912,1,2023/12/31
在风险放在第一位的思想指导下，实现了连续三个月盈利,352,0,2023/12/31
2021嗨皮牛也！！,375,0,2023/12/31
很明显最后机会,366,1,2023/12/31
有意思，在最后一天突破。,759,14,2023/12/31
明年见,748,20,2023/12/31
2020年最后一天终于站上3458点，不容易啊！[大笑][大,379,0,2023/12/31
牛市来了，2020年是一个多事之年，希望明年有好的运气,365,0,2023/12/31
今晚股神又要出来说了,467,2,2023/12/31
我发起了一个投票，【#上证指数#又是一轮大盘3500，】,661,0,2023/12/31
虚火旺！底气不足，大多股票在创年内新低！,360,0,2023/12/31
基金公司用新基金接盘老基金以此输送利润牺牲新基金保,387,0,2023/12/31
看新闻炒股太危险韭菜太多好好长快到收割季了！还是静,385,0,2023/12/31
空仓轻仓的朋友，为难了！是追呢？还是不追？,1190,21,2023/12/31
太扯了，最后一天三大指数同时创年内新高。,387,0,2023/12/31
喜提12.25亿+银团放款52亿元+5.3亿元出让莱阳盾安  不,422,4,2023/12/31
我想请教一下，我放了40在大A里十年了，一直没操作，,992,7,2023/12/31
2020最后的疯狂,382,0,2023/12/31
半月以来，这是散户承接力最好的一天，希望下星期千万,361,0,2023/12/31
创2020年新高，总结好写了,366,1,2023/12/31
2020最后一天清仓，2021年再开始。,470,2,2023/12/31
才懂，明年再战。没赚到钱，期权一天亏了80%[怒],486,0,2023/12/31
今年的最后一个交易日结束了，本月还是亏损了8146，今,898,10,2023/12/31
2020年完美收官。感恩2020反转，迎接2021大牛年的到来,368,0,2023/12/31
今天减仓了，挣了1万，总收益率109.03%,392,0,2023/12/31
100万资金实盘分享第14天，浮盈5.6万。12月14日开始使,534,3,2023/12/31
12-31月未日记：上证指数收盘3473，本金150万元90%仓,543,4,2023/12/31
我发起了一个投票，【2020年收益】，快来参与投票吧~,926,0,2023/12/31
本次牛市正式开始！今天攻破3460点，2021年牛市确立了,443,0,2023/12/31
【振奋精神：顺势而为】所持个股：明日多方占优。大盘,439,0,2023/12/31
12月中旬一直提醒券商板块最后机会12.27号的文章值得,54870,509,2023/12/31
总资产:260318（转出10000）收益率:37.33%仓位:进攻型,360,0,2023/12/31
十二月表现不满意，不求快，只求稳。用实力说话，我就,541,1,2023/12/31
炒股第一年，20万练手，赔了9万，好像啥也没学会[囧],918,13,2023/12/31
【2021年见】2020年最后一个交易日已经结束了，大家做,3345,36,2023/12/31
艾米丽说过再大涨风险就要来了3500-3550记得吗几个月,508,0,2023/12/31
完美告别2020年，今天市场的所有参与者都讲了武德和江,380,0,2023/12/31
我发起了一个投票，【#上证指数#2021年祝福】，快来参,957,10,2023/12/31
连券商和平安那么不要脸的都涨了，你还在犹豫个毛啊！,378,0,2023/12/31
大A以傲视全球的姿态，走完2020最后一天。,388,1,2023/12/31
今天坐公交，听到两位大妈在聊天，竟然在讨论股市，就,457,0,2023/12/31
只有我今天是亏钱的吗？大盘1.3%  我的股票还亏了2-3%,419,1,2023/12/31
迎接开门红,359,1,2023/12/31
单纯讲一下大盘啊，相信有很多小粉都想学叔叔讲的筹码,3923,90,2023/12/31
3456.78收盘[呲牙],351,0,2023/12/31
大盘突破多头确立，下周银行股再一个120分钟震荡一两,361,0,2023/12/31
今天大盘的中阳线应该也算是稳了，而且今天还差点就又,440,2,2023/12/31
我发起了一个投票，【#上证指数#有没有减仓】，快来参,1535,7,2023/12/31
就是到不了3465。。。神奇吧。。。。就差一点点。。。,358,2,2023/12/31
预祝突破3465.73点站上年内新高收2020年线,354,0,2023/12/31
神经呀，完全无视大盘，无语,456,1,2023/12/31
果然！如专家所论！A股2020年以全年最高点收官，可喜,433,1,2023/12/31
大家是否有认真是查看，这两日创业板新高不断，今日再,419,0,2023/12/31
大盘今日缺口过年还得补[成交],507,8,2023/12/31
静候两点半，希望大哥上2021，五粮液300,360,0,2023/12/31
"2020年的最后一天，创阶段新高。Oh,yeah！",404,1,2023/12/31
受各种因素影响，海尔热水器宣布2021年1月下旬涨价空,1242,0,2023/12/31
今天2020年最后这一天红红火火的结尾，迎接明天2021年,492,0,2023/12/31
收盘创新高，这个是任务！！！,425,2,2023/12/31
全仓吃了个跌停,640,6,2023/12/31
2020收官3456.783456.78,394,0,2023/12/31
今天标题，各方茅台创历史新高,362,0,2023/12/31
全民免费！ 人民日报 今天 　　在31日举行的国务院联,495,0,2023/12/31
看看今天能不能突破12月2号的高点。感觉问题不大。今,376,1,2023/12/31
股票赔钱，经介绍，一个高人给算了一卦：买股要买酒水,516,1,2023/12/31
下来吧！大盘！,367,1,2023/12/31
明天开盘就清仓,394,3,2023/12/31
上午那一摔，现在终于爬上来了,364,0,2023/12/31
证券公司的研报最假了！推荐买入的都是高位的！,485,5,2023/12/31
今天不清仓的是,386,0,2023/12/31
今天拿下3465，我说的，耶稣来了也没用。,528,1,2023/12/31
主力散户一起冲啊，拿下3465点，完美啦,406,1,2023/12/31
还是别涨了吧！涨的有点太多了，容易踩空站不稳！各界,481,0,2023/12/31
今天的盘面走势延续了昨天的大涨，节前资金回流，反而,643,0,2023/12/31
突破以后，会大小盘分化，高位报团要出手了。中小盘股,381,0,2023/12/31
大盘还有上升空间，但空间有限，3500点是没有问题地，,423,2,2023/12/31
第三次攻击大锅盖3465，所有板块一起发力呀,429,1,2023/12/31
坚定持有就对了,369,1,2023/12/31
券商中还有比东吴证券和中国银河还恶心的券商吗？,577,5,2023/12/31
有很多股民都在埋怨我们的股市只会下跌，不会上涨，现,529,3,2023/12/31
国内的Sb机构还想着压着拿低价筹码，节后回来，机构都,420,1,2023/12/31
开年来个暴跌在横盘然后新高[大笑][大笑][大笑][大笑],434,0,2023/12/31
投票下午跳水可能性,438,2,2023/12/31
现在每拉一个点要乘以50来看，今天等于拉了1500点,381,0,2023/12/31
卖了茅台一生有福。现在买茅台一辈子清苦。2020.12.31,402,0,2023/12/31
如果今天大盘下来，节后必定开启牛市,661,3,2023/12/31
午后的盘面似乎是轮番上演，除了前面提到周期性板块回,426,0,2023/12/31
从2021年开始，大盘不会在低于3400了，再也不会有新低,509,3,2023/12/31
我们大A，能不能阳刚一点,355,0,2023/12/31
除了军工，新能源还能长点什么东西吗？,411,3,2023/12/31
茅台一拉大盘稳了,389,0,2023/12/31
俺那十万捐献给机构了，还多给了两万,417,0,2023/12/31
二八行情，赚指数不赚钱,394,1,2023/12/31
上证指数120分钟周期图macd已形成顶背离。判断前高难,409,0,2023/12/31
